make,model,year,engine_fuel_type,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,market_category,vehicle_size,vehicle_style,highway_mpg,city_mpg,popularity
volkswagen,gli,2009,premium_unleaded_(recommended),200.0,4.0,manual,front_wheel_drive,4.0,performance,compact,sedan,31,21,873
chrysler,pacifica,2008,regular_unleaded,253.0,6.0,automatic,all_wheel_drive,4.0,crossover,large,wagon,22,14,1013
nissan,altima,2016,regular_unleaded,270.0,6.0,automatic,front_wheel_drive,4.0,performance,midsize,sedan,32,22,2009
acura,rsx,2005,premium_unleaded_(required),210.0,4.0,manual,front_wheel_drive,2.0,"hatchback,factory_tuner,luxury,performance",compact,2dr_hatchback,28,20,204
lexus,rc_350,2017,premium_unleaded_(required),306.0,6.0,automatic,rear_wheel_drive,2.0,"luxury,performance",midsize,coupe,28,19,454
chevrolet,aveo,2009,regular_unleaded,107.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,34,27,1385
volvo,740,1991,regular_unleaded,162.0,4.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,wagon,20,17,870
audi,a7,2015,premium_unleaded_(required),310.0,6.0,automatic,all_wheel_drive,4.0,"luxury,performance",large,sedan,28,18,3105
ford,escape,2017,regular_unleaded,168.0,4.0,automatic,front_wheel_drive,4.0,crossover,compact,4dr_suv,29,21,5657
ford,focus,2017,flex-fuel_(unleaded/e85),160.0,4.0,manual,front_wheel_drive,4.0,flex_fuel,compact,sedan,36,26,5657
maybach,62,2011,premium_unleaded_(required),620.0,12.0,automatic,rear_wheel_drive,4.0,"exotic,luxury,high-performance",large,sedan,16,10,67
honda,ridgeline,2017,regular_unleaded,280.0,6.0,automatic,all_wheel_drive,4.0,,large,crew_cab_pickup,25,18,2202
ford,e-series_van,2012,flex-fuel_(unleaded/e85),225.0,8.0,automatic,rear_wheel_drive,3.0,flex_fuel,large,cargo_van,17,13,5657
toyota,mr2,1993,regular_unleaded,200.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,coupe,25,18,2031
nissan,pathfinder,2017,regular_unleaded,284.0,6.0,automatic,front_wheel_drive,4.0,crossover,large,4dr_suv,27,20,2009
ford,e-series_wagon,2014,flex-fuel_(unleaded/e85),225.0,8.0,automatic,rear_wheel_drive,3.0,flex_fuel,midsize,passenger_van,16,13,5657
subaru,impreza_wrx,2014,premium_unleaded_(required),305.0,4.0,manual,all_wheel_drive,4.0,"factory_tuner,high-performance",compact,sedan,23,17,640
mazda,cx-5,2016,regular_unleaded,184.0,4.0,automatic,all_wheel_drive,4.0,crossover,midsize,4dr_suv,30,24,586
acura,tl,2013,premium_unleaded_(recommended),280.0,6.0,automatic,front_wheel_drive,4.0,luxury,midsize,sedan,29,20,204
pontiac,g6,2009,flex-fuel_(unleaded/e85),219.0,6.0,automatic,front_wheel_drive,2.0,flex_fuel,midsize,coupe,26,17,210
mercedes-benz,e-class,2016,premium_unleaded_(required),302.0,6.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,29,20,617
ford,explorer_sport,2001,regular_unleaded,203.0,6.0,manual,rear_wheel_drive,2.0,,midsize,2dr_suv,20,16,5657
lincoln,mkz,2016,regular_unleaded,231.0,4.0,automatic,all_wheel_drive,4.0,luxury,midsize,sedan,31,22,61
cadillac,cts_wagon,2014,regular_unleaded,270.0,6.0,automatic,all_wheel_drive,4.0,luxury,midsize,wagon,26,18,1624
mazda,tribute,2009,regular_unleaded,240.0,6.0,automatic,front_wheel_drive,4.0,crossover,compact,4dr_suv,26,18,586
kia,rio,2016,regular_unleaded,138.0,4.0,automatic,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,37,27,1720
volkswagen,gti,2013,premium_unleaded_(recommended),200.0,4.0,automated_manual,front_wheel_drive,2.0,"hatchback,performance",compact,2dr_hatchback,33,24,873
chevrolet,silverado_1500,2015,flex-fuel_(unleaded/e85),285.0,6.0,automatic,rear_wheel_drive,2.0,flex_fuel,large,regular_cab_pickup,24,18,1385
mercedes-benz,glc-class,2016,premium_unleaded_(required),241.0,4.0,automatic,rear_wheel_drive,4.0,"crossover,luxury",midsize,4dr_suv,28,22,617
honda,insight,2013,regular_unleaded,98.0,4.0,automatic,front_wheel_drive,4.0,"hatchback,hybrid",compact,4dr_hatchback,44,41,2202
ford,ranger,2009,regular_unleaded,207.0,6.0,manual,four_wheel_drive,2.0,,compact,extended_cab_pickup,19,15,5657
buick,encore,2016,regular_unleaded,138.0,4.0,automatic,front_wheel_drive,4.0,crossover,compact,4dr_suv,33,25,155
ford,shelby_gt350,2015,premium_unleaded_(recommended),526.0,8.0,manual,rear_wheel_drive,2.0,"factory_tuner,high-performance",midsize,coupe,21,14,5657
audi,q5,2016,diesel,240.0,6.0,automatic,all_wheel_drive,4.0,"crossover,luxury,diesel",midsize,4dr_suv,31,24,3105
kia,forte,2017,regular_unleaded,164.0,4.0,automatic,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,34,25,1720
bmw,4_series,2015,premium_unleaded_(required),240.0,4.0,automatic,rear_wheel_drive,2.0,luxury,midsize,convertible,34,23,3916
chevrolet,impala_limited,2016,flex-fuel_(unleaded/e85),300.0,6.0,automatic,front_wheel_drive,4.0,flex_fuel,large,sedan,30,18,1385
buick,terraza,2005,regular_unleaded,200.0,6.0,automatic,front_wheel_drive,4.0,,midsize,passenger_minivan,23,16,155
chrysler,200,2016,flex-fuel_(unleaded/e85),184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013
ford,freestar,2005,regular_unleaded,,6.0,automatic,front_wheel_drive,4.0,,midsize,passenger_minivan,21,16,5657
rolls-royce,ghost,2014,premium_unleaded_(required),563.0,12.0,automatic,rear_wheel_drive,4.0,"exotic,luxury,performance",large,sedan,21,13,86
chevrolet,c/k_1500_series,1997,regular_unleaded,200.0,6.0,manual,rear_wheel_drive,2.0,,large,regular_cab_pickup,20,15,1385
volvo,xc60,2017,regular_unleaded,240.0,4.0,automatic,front_wheel_drive,4.0,"crossover,luxury",midsize,4dr_suv,30,23,870
ford,probe,1996,regular_unleaded,118.0,4.0,manual,front_wheel_drive,2.0,hatchback,compact,2dr_hatchback,30,23,5657
nissan,juke,2016,premium_unleaded_(recommended),188.0,4.0,automatic,all_wheel_drive,4.0,"crossover,hatchback",compact,4dr_hatchback,31,26,2009
mazda,3,2016,regular_unleaded,184.0,4.0,manual,front_wheel_drive,4.0,"hatchback,performance",compact,4dr_hatchback,35,26,586
gmc,yukon,2016,flex-fuel_(unleaded/e85),355.0,8.0,automatic,four_wheel_drive,4.0,"flex_fuel,performance",large,4dr_suv,22,16,549
chevrolet,s-10,2003,regular_unleaded,190.0,6.0,manual,four_wheel_drive,3.0,,compact,extended_cab_pickup,17,12,1385
buick,lacrosse,2016,flex-fuel_(unleaded/e85),304.0,6.0,automatic,front_wheel_drive,4.0,flex_fuel,large,sedan,28,18,155
dodge,stratus,2004,regular_unleaded,200.0,6.0,automatic,front_wheel_drive,2.0,performance,midsize,coupe,25,18,1851
hyundai,genesis,2016,regular_unleaded,311.0,6.0,automatic,rear_wheel_drive,4.0,"luxury,performance",large,sedan,29,18,1439
nissan,leaf,2015,electric,,0.0,direct_drive,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,101,126,2009
subaru,impreza_wrx,2013,premium_unleaded_(required),265.0,4.0,manual,all_wheel_drive,4.0,performance,compact,sedan,25,19,640
infiniti,q50,2017,premium_unleaded_(required),300.0,6.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,29,20,190
kia,rio,2015,regular_unleaded,138.0,4.0,automatic,front_wheel_drive,4.0,,compact,sedan,37,27,1720
buick,lacrosse,2015,regular_unleaded,182.0,4.0,automatic,front_wheel_drive,4.0,"flex_fuel,hybrid",large,sedan,36,25,155
dodge,ram_cargo,2002,regular_unleaded,175.0,6.0,automatic,rear_wheel_drive,3.0,,large,cargo_van,15,13,1851
toyota,camry,2016,regular_unleaded,178.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,35,25,2031
oldsmobile,ciera,1995,regular_unleaded,160.0,6.0,automatic,front_wheel_drive,4.0,,midsize,wagon,26,17,26
hyundai,sonata_hybrid,2016,regular_unleaded,193.0,4.0,automatic,front_wheel_drive,4.0,hybrid,midsize,sedan,43,39,1439
lincoln,ls,2005,premium_unleaded_(required),232.0,6.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,24,17,61
mitsubishi,i-miev,2014,electric,,,direct_drive,rear_wheel_drive,4.0,hatchback,compact,4dr_hatchback,99,126,436
honda,fit_ev,2013,electric,,0.0,direct_drive,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,105,132,2202
dodge,ramcharger,1993,regular_unleaded,230.0,8.0,automatic,four_wheel_drive,2.0,,midsize,2dr_suv,15,11,1851
ford,probe,1995,regular_unleaded,164.0,6.0,manual,front_wheel_drive,2.0,"hatchback,performance",compact,2dr_hatchback,24,18,5657
porsche,boxster,2016,premium_unleaded_(required),315.0,6.0,manual,rear_wheel_drive,2.0,"luxury,high-performance",compact,convertible,28,20,1715
hummer,h3,2010,regular_unleaded,239.0,5.0,automatic,four_wheel_drive,4.0,luxury,midsize,4dr_suv,18,14,130
suzuki,esteem,2000,regular_unleaded,122.0,4.0,manual,front_wheel_drive,4.0,,compact,sedan,32,24,481
chevrolet,impala,2016,regular_unleaded,195.0,4.0,automatic,front_wheel_drive,4.0,,large,sedan,31,22,1385
dodge,dakota,2009,regular_unleaded,210.0,6.0,automatic,rear_wheel_drive,4.0,flex_fuel,compact,extended_cab_pickup,20,15,1851
ford,f-150,2017,flex-fuel_(unleaded/e85),385.0,8.0,automatic,four_wheel_drive,4.0,flex_fuel,large,extended_cab_pickup,21,15,5657
chevrolet,sonic,2015,regular_unleaded,138.0,4.0,automatic,front_wheel_drive,4.0,,compact,sedan,37,27,1385
audi,100,1992,regular_unleaded,172.0,6.0,automatic,all_wheel_drive,4.0,luxury,midsize,wagon,20,16,3105
mazda,truck,2003,regular_unleaded,135.0,4.0,manual,rear_wheel_drive,2.0,,compact,regular_cab_pickup,26,21,586
gmc,sierra_1500hd,2006,regular_unleaded,300.0,8.0,automatic,four_wheel_drive,4.0,,large,crew_cab_pickup,16,13,549
volvo,v60,2015,regular_unleaded,325.0,6.0,automatic,all_wheel_drive,4.0,"luxury,high-performance",midsize,wagon,28,19,870
toyota,rav4,2016,regular_unleaded,176.0,4.0,automatic,front_wheel_drive,4.0,crossover,midsize,4dr_suv,31,24,2031
oldsmobile,eighty-eight_royale,1995,regular_unleaded,225.0,6.0,automatic,front_wheel_drive,4.0,,large,sedan,26,17,26
volkswagen,jetta_sportwagen,2014,diesel,140.0,4.0,automated_manual,front_wheel_drive,4.0,diesel,compact,wagon,39,29,873
cadillac,cts,2015,premium_unleaded_(recommended),272.0,4.0,automatic,all_wheel_drive,4.0,"luxury,performance",large,sedan,28,19,1624
suzuki,equator,2011,regular_unleaded,152.0,4.0,automatic,rear_wheel_drive,4.0,,compact,extended_cab_pickup,22,17,481
mitsubishi,eclipse_spyder,2011,regular_unleaded,162.0,4.0,automatic,front_wheel_drive,2.0,,compact,convertible,27,20,436
chevrolet,hhr,2010,flex-fuel_(unleaded/e85),155.0,4.0,manual,front_wheel_drive,4.0,flex_fuel,compact,wagon,32,22,1385
volkswagen,jetta_sportwagen,2012,diesel,140.0,4.0,automated_manual,front_wheel_drive,4.0,diesel,compact,wagon,39,29,873
lexus,es_250,1990,regular_unleaded,156.0,6.0,manual,front_wheel_drive,4.0,luxury,compact,sedan,24,17,454
infiniti,g37,2009,premium_unleaded_(required),330.0,6.0,automatic,rear_wheel_drive,2.0,luxury,midsize,coupe,26,18,190
chevrolet,avalanche,2011,flex-fuel_(unleaded/e85),320.0,8.0,automatic,rear_wheel_drive,4.0,"crossover,flex_fuel",large,crew_cab_pickup,21,15,1385
mercedes-benz,600-class,1993,regular_unleaded,389.0,12.0,automatic,rear_wheel_drive,2.0,luxury,large,coupe,15,11,617
hyundai,tucson,2017,regular_unleaded,175.0,4.0,automated_manual,all_wheel_drive,4.0,crossover,compact,4dr_suv,30,25,1439
land_rover,range_rover_sport,2015,flex-fuel_(premium_unleaded_required/e85),510.0,8.0,automatic,four_wheel_drive,4.0,"flex_fuel,luxury,high-performance",midsize,4dr_suv,19,14,258
dodge,ram_250,1991,regular_unleaded,170.0,8.0,manual,rear_wheel_drive,2.0,,large,extended_cab_pickup,13,11,1851
volkswagen,gli,2008,premium_unleaded_(required),200.0,4.0,manual,front_wheel_drive,4.0,performance,compact,sedan,29,20,873
infiniti,g37,2009,premium_unleaded_(required),328.0,6.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,26,18,190
pontiac,grand_am,2004,regular_unleaded,140.0,4.0,manual,front_wheel_drive,4.0,,midsize,sedan,33,23,210
infiniti,jx,2013,premium_unleaded_(recommended),265.0,6.0,automatic,all_wheel_drive,4.0,"crossover,luxury",large,4dr_suv,23,18,190
ford,mustang,2015,premium_unleaded_(recommended),310.0,4.0,manual,rear_wheel_drive,2.0,high-performance,midsize,convertible,31,22,5657
volkswagen,cc,2017,premium_unleaded_(recommended),200.0,4.0,automated_manual,front_wheel_drive,4.0,performance,midsize,sedan,31,22,873
chevrolet,blazer,2003,regular_unleaded,190.0,6.0,automatic,rear_wheel_drive,4.0,,midsize,4dr_suv,21,15,1385
pontiac,montana,2003,regular_unleaded,185.0,6.0,automatic,all_wheel_drive,4.0,,midsize,passenger_minivan,22,16,210
lincoln,mkc,2016,regular_unleaded,240.0,4.0,automatic,all_wheel_drive,4.0,"crossover,luxury",compact,4dr_suv,26,19,61
subaru,baja,2005,premium_unleaded_(required),210.0,4.0,manual,all_wheel_drive,4.0,crossover,compact,crew_cab_pickup,23,17,640
volvo,xc90,2017,premium_unleaded_(recommended),250.0,4.0,automatic,front_wheel_drive,4.0,"crossover,luxury",large,4dr_suv,26,22,870
suzuki,grand_vitara,2011,regular_unleaded,166.0,4.0,automatic,rear_wheel_drive,4.0,crossover,compact,4dr_suv,25,19,481
cadillac,ats,2017,regular_unleaded,335.0,6.0,automatic,all_wheel_drive,4.0,"luxury,high-performance",midsize,sedan,27,19,1624
buick,lesabre,2005,regular_unleaded,205.0,6.0,automatic,front_wheel_drive,4.0,,large,sedan,27,18,155
honda,civic,2016,regular_unleaded,158.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,41,31,2202
toyota,matrix,2012,regular_unleaded,158.0,4.0,automatic,all_wheel_drive,4.0,hatchback,compact,4dr_hatchback,26,20,2031
ford,shelby_gt500,2014,premium_unleaded_(required),662.0,8.0,manual,rear_wheel_drive,2.0,"factory_tuner,high-performance",midsize,coupe,24,15,5657
bmw,x6_m,2017,premium_unleaded_(required),567.0,8.0,automatic,all_wheel_drive,4.0,"crossover,factory_tuner,luxury,high-performance",midsize,4dr_suv,19,14,3916
hyundai,tucson,2016,regular_unleaded,175.0,4.0,automated_manual,all_wheel_drive,4.0,crossover,compact,4dr_suv,28,24,1439
mercedes-benz,500-class,1992,regular_unleaded,322.0,8.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,16,13,617
volkswagen,eos,2015,premium_unleaded_(recommended),200.0,4.0,automated_manual,front_wheel_drive,2.0,,compact,convertible,30,22,873
volkswagen,passat,2015,regular_unleaded,170.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,36,24,873
toyota,sienna,2015,regular_unleaded,266.0,6.0,automatic,front_wheel_drive,4.0,,large,passenger_minivan,25,18,2031
land_rover,discovery_series_ii,2001,premium_unleaded_(required),188.0,8.0,automatic,four_wheel_drive,4.0,luxury,midsize,4dr_suv,16,12,258
oldsmobile,ciera,1996,regular_unleaded,120.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,29,21,26
land_rover,range_rover_evoque,2016,premium_unleaded_(recommended),240.0,4.0,automatic,all_wheel_drive,2.0,"crossover,luxury",compact,2dr_suv,30,21,258
suzuki,esteem,2002,regular_unleaded,122.0,4.0,manual,front_wheel_drive,4.0,,compact,wagon,31,24,481
mitsubishi,lancer_evolution,2015,premium_unleaded_(required),291.0,4.0,automated_manual,all_wheel_drive,4.0,"factory_tuner,performance",compact,sedan,22,17,436
nissan,murano,2017,regular_unleaded,260.0,6.0,automatic,front_wheel_drive,4.0,crossover,midsize,4dr_suv,28,21,2009
dodge,neon,2004,premium_unleaded_(required),225.0,4.0,manual,front_wheel_drive,4.0,"factory_tuner,performance",compact,sedan,28,19,1851
buick,roadmaster,1995,regular_unleaded,260.0,8.0,automatic,rear_wheel_drive,4.0,,large,wagon,23,15,155
volkswagen,rabbit,2009,regular_unleaded,170.0,5.0,automatic,front_wheel_drive,2.0,hatchback,compact,2dr_hatchback,29,20,873
cadillac,eldorado,2002,regular_unleaded,300.0,8.0,automatic,front_wheel_drive,2.0,luxury,large,coupe,25,16,1624
dodge,grand_caravan,2016,flex-fuel_(unleaded/e85),283.0,6.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,passenger_minivan,25,17,1851
suzuki,sx4,2013,regular_unleaded,148.0,4.0,automatic,all_wheel_drive,4.0,"crossover,hatchback",compact,4dr_hatchback,29,23,481
volvo,xc90,2016,premium_unleaded_(recommended),316.0,4.0,automatic,all_wheel_drive,4.0,"crossover,luxury",large,4dr_suv,25,20,870
porsche,panamera,2016,premium_unleaded_(required),570.0,8.0,automated_manual,all_wheel_drive,4.0,"luxury,high-performance",large,sedan,24,15,1715
cadillac,cts,2015,premium_unleaded_(recommended),272.0,4.0,automatic,rear_wheel_drive,4.0,"luxury,performance",large,sedan,30,20,1624
porsche,911,2017,premium_unleaded_(required),420.0,6.0,manual,rear_wheel_drive,2.0,"luxury,high-performance",compact,coupe,28,20,1715
pontiac,firebird,2000,regular_unleaded,305.0,8.0,unknown,rear_wheel_drive,2.0,"factory_tuner,performance",midsize,convertible,23,15,210
gmc,sierra_1500_classic,2007,flex-fuel_(unleaded/e85),295.0,8.0,automatic,four_wheel_drive,4.0,flex_fuel,large,crew_cab_pickup,17,13,549
ford,expedition,2017,regular_unleaded,365.0,6.0,automatic,four_wheel_drive,4.0,,large,4dr_suv,19,15,5657
saab,9-3_griffin,2012,flex-fuel_(premium_unleaded_recommended/e85),220.0,4.0,automatic,front_wheel_drive,2.0,"flex_fuel,luxury",compact,convertible,28,18,376
oldsmobile,alero,2003,regular_unleaded,170.0,6.0,automatic,front_wheel_drive,2.0,,midsize,coupe,27,18,26
chevrolet,silverado_1500_classic,2007,flex-fuel_(unleaded/e85),295.0,8.0,automatic,rear_wheel_drive,4.0,flex_fuel,large,extended_cab_pickup,19,14,1385
dodge,challenger,2017,premium_unleaded_(recommended),485.0,8.0,manual,rear_wheel_drive,2.0,"factory_tuner,high-performance",large,coupe,23,14,1851
gmc,vandura,1994,regular_unleaded,200.0,8.0,automatic,rear_wheel_drive,3.0,,large,cargo_van,16,12,549
mercedes-benz,s-class,2017,premium_unleaded_(required),449.0,8.0,automatic,all_wheel_drive,4.0,"luxury,high-performance",large,sedan,25,16,617
mercedes-benz,gl-class,2015,premium_unleaded_(required),550.0,8.0,automatic,all_wheel_drive,4.0,"crossover,factory_tuner,luxury,high-performance",large,4dr_suv,17,13,617
mitsubishi,3000gt,1999,regular_unleaded,218.0,6.0,manual,front_wheel_drive,2.0,"hatchback,performance",compact,2dr_hatchback,23,17,436
subaru,wrx,2016,premium_unleaded_(recommended),268.0,4.0,manual,all_wheel_drive,4.0,performance,compact,sedan,27,20,640
lotus,evora_400,2017,premium_unleaded_(required),400.0,6.0,manual,rear_wheel_drive,2.0,"exotic,high-performance",compact,coupe,39,21,613
infiniti,q70,2014,premium_unleaded_(recommended),360.0,6.0,automatic,rear_wheel_drive,4.0,"luxury,hybrid",large,sedan,34,29,190
buick,enclave,2016,regular_unleaded,288.0,6.0,automatic,front_wheel_drive,4.0,crossover,midsize,4dr_suv,22,15,155
volkswagen,beetle_convertible,2015,diesel,150.0,4.0,manual,front_wheel_drive,2.0,diesel,compact,convertible,40,30,873
audi,q5,2016,diesel,240.0,6.0,automatic,all_wheel_drive,4.0,"crossover,luxury,diesel",midsize,4dr_suv,31,24,3105
porsche,911,2015,premium_unleaded_(required),350.0,6.0,manual,all_wheel_drive,2.0,"luxury,high-performance",compact,coupe,26,18,1715
bmw,6_series,2015,premium_unleaded_(required),315.0,6.0,automatic,all_wheel_drive,2.0,"luxury,performance",midsize,convertible,29,20,3916
lamborghini,gallardo,2014,premium_unleaded_(required),560.0,10.0,automated_manual,all_wheel_drive,2.0,"exotic,high-performance",compact,convertible,20,13,1158
honda,passport,2001,regular_unleaded,205.0,6.0,automatic,rear_wheel_drive,4.0,,midsize,4dr_suv,20,15,2202
ford,fusion_hybrid,2017,regular_unleaded,188.0,4.0,automatic,front_wheel_drive,4.0,hybrid,midsize,sedan,41,43,5657
chevrolet,trailblazer,2008,regular_unleaded,285.0,6.0,automatic,four_wheel_drive,4.0,,midsize,4dr_suv,20,14,1385
gmc,s-15,1990,regular_unleaded,105.0,4.0,manual,rear_wheel_drive,2.0,,compact,regular_cab_pickup,25,21,549
ferrari,456m,2001,premium_unleaded_(required),442.0,12.0,manual,rear_wheel_drive,2.0,"exotic,high-performance",compact,coupe,15,9,2774
chevrolet,trailblazer,2009,regular_unleaded,285.0,6.0,automatic,rear_wheel_drive,4.0,,midsize,4dr_suv,20,14,1385
gmc,sierra_1500,2015,flex-fuel_(unleaded/e85),285.0,6.0,automatic,four_wheel_drive,2.0,flex_fuel,large,regular_cab_pickup,22,17,549
saab,9-5,2009,premium_unleaded_(recommended),260.0,4.0,automatic,front_wheel_drive,4.0,"luxury,performance",midsize,sedan,27,17,376
chevrolet,corvette,2016,premium_unleaded_(recommended),455.0,8.0,manual,rear_wheel_drive,2.0,high-performance,compact,convertible,29,17,1385
gmc,sierra_1500,2016,regular_unleaded,355.0,8.0,automatic,rear_wheel_drive,4.0,,large,crew_cab_pickup,23,16,549
cadillac,cts,2017,premium_unleaded_(recommended),268.0,4.0,automatic,all_wheel_drive,4.0,"luxury,performance",large,sedan,29,21,1624
cadillac,cts_coupe,2014,regular_unleaded,318.0,6.0,automatic,rear_wheel_drive,2.0,"luxury,performance",midsize,coupe,27,18,1624
nissan,xterra,2014,regular_unleaded,261.0,6.0,automatic,four_wheel_drive,4.0,,midsize,4dr_suv,20,15,2009
volkswagen,cc,2016,premium_unleaded_(recommended),200.0,4.0,manual,front_wheel_drive,4.0,performance,midsize,sedan,32,21,873
lexus,hs_250h,2011,regular_unleaded,187.0,4.0,automatic,front_wheel_drive,4.0,"luxury,hybrid",midsize,sedan,34,35,454
ferrari,360,2004,premium_unleaded_(required),400.0,8.0,manual,rear_wheel_drive,2.0,"exotic,high-performance",compact,coupe,15,10,2774
oldsmobile,cutlass_ciera,1994,regular_unleaded,160.0,6.0,automatic,front_wheel_drive,4.0,,midsize,wagon,26,17,26
ford,f-150,2016,flex-fuel_(unleaded/e85),385.0,8.0,automatic,four_wheel_drive,4.0,flex_fuel,large,crew_cab_pickup,21,15,5657
dodge,stratus,2004,regular_unleaded,150.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,27,20,1851
chevrolet,silverado_1500,2017,flex-fuel_(unleaded/e85),285.0,6.0,automatic,four_wheel_drive,4.0,flex_fuel,large,crew_cab_pickup,22,17,1385
honda,fit,2017,regular_unleaded,130.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,36,29,2202
toyota,tacoma,2016,regular_unleaded,278.0,6.0,manual,four_wheel_drive,4.0,,compact,crew_cab_pickup,21,17,2031
land_rover,range_rover_sport,2016,premium_unleaded_(recommended),510.0,8.0,automatic,four_wheel_drive,4.0,"luxury,high-performance",midsize,4dr_suv,19,14,258
acura,tsx,2013,premium_unleaded_(recommended),201.0,4.0,automatic,front_wheel_drive,4.0,luxury,midsize,sedan,31,22,204
ford,e-150,1997,regular_unleaded,200.0,6.0,automatic,rear_wheel_drive,3.0,,midsize,cargo_van,18,14,5657
toyota,corolla,2015,regular_unleaded,132.0,4.0,manual,front_wheel_drive,4.0,,compact,sedan,37,28,2031
toyota,tacoma,2015,regular_unleaded,159.0,4.0,automatic,rear_wheel_drive,4.0,,compact,extended_cab_pickup,24,19,2031
dodge,challenger,2015,regular_unleaded,305.0,6.0,automatic,rear_wheel_drive,2.0,performance,large,coupe,30,19,1851
ford,f-250,1999,regular_unleaded,220.0,8.0,manual,four_wheel_drive,2.0,,large,regular_cab_pickup,16,12,5657
volkswagen,gti,2013,premium_unleaded_(recommended),200.0,4.0,manual,front_wheel_drive,2.0,"hatchback,performance",compact,2dr_hatchback,31,21,873
audi,a3,2016,premium_unleaded_(recommended),170.0,4.0,automated_manual,front_wheel_drive,2.0,luxury,compact,convertible,35,24,3105
subaru,outback,2015,regular_unleaded,175.0,4.0,automatic,all_wheel_drive,4.0,crossover,midsize,4dr_suv,33,25,640
acura,rsx,2006,regular_unleaded,155.0,4.0,automatic,front_wheel_drive,2.0,"hatchback,luxury",compact,2dr_hatchback,31,22,204
gmc,sierra_1500_classic,2007,regular_unleaded,285.0,8.0,automatic,rear_wheel_drive,4.0,flex_fuel,large,extended_cab_pickup,19,15,549
acura,integra,2001,regular_unleaded,140.0,4.0,automatic,front_wheel_drive,4.0,luxury,compact,sedan,28,21,204
volkswagen,golf_alltrack,2017,regular_unleaded,170.0,4.0,manual,all_wheel_drive,4.0,crossover,compact,wagon,30,22,873
bmw,3_series,2016,premium_unleaded_(required),240.0,4.0,manual,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,34,22,3916
